,file_name,formula,parametrized_formula,reward_mean,reward_std,reward_e400_mean,reward_e400_std,reward_e600_mean,reward_e600_std,reward025_e400_mean,reward025_e400_std,reward025_e600_mean,reward025_e600_std,reward0125_e400_mean,reward0125_e400_std,reward0125_e600_mean,reward0125_e600_std,reward025_mean,reward025_std,reward0125_mean,reward0125_std,explicit_reward_mean,explicit_reward_std,explicit_reward_e400_mean,explicit_reward_e400_std,explicit_reward_e600_mean,explicit_reward_e600_std,explicit_reward025_e400_mean,explicit_reward025_e400_std,explicit_reward025_e600_mean,explicit_reward025_e600_std,explicit_reward0125_e400_mean,explicit_reward0125_e400_std,explicit_reward0125_e600_mean,explicit_reward0125_e600_std,explicit_reward025_mean,explicit_reward025_std,explicit_reward0125_mean,explicit_reward0125_std
0,symbolic_complex19A_final_model.pt,(((1.6276639699935913*x2 + (x1 / 0.1611037701368332)) * x0) / ((((x1 / 0.16852176189422607) + 0.993894636631012*x2) * (x2 * -0.08521824330091476)) + -0.7546262741088867)),(((p4*x2 + (x1 / p0)) * x0) / ((((x1 / p1) + p5*x2) * (x2 * p2)) + p3)),-163.93412633718523,99.84559174680484,-163.93412633718526,99.8455917468049,-163.93412633718526,99.8455917468049,-305.9891583312243,199.83715278328458,-305.9891583312243,199.83715278328458,-624.5306615446594,478.64452204878774,-624.5306864571763,478.64455517826445,-305.9891451992132,199.8371212393914,-606.9069462446216,457.86122487035294,-534.0227469599168,441.5009044548872,-1009.5437026140747,942.5488321567458,-1501.0330861008008,1463.553725006554,-707.5503936609125,633.6569959733712,-967.335799966216,1022.7875795362412,-677.2456533005553,429.804678597553,-727.6159770289612,518.5318786296197,-455.0262331726655,276.39852473608255,-615.3762577390295,367.6877438209186
1,symbolic_complex9A_final_model.pt,((((1.2333308458328247*x2 + 4.307541847229004*x1) * x0) + 0.36595696210861206*x1) / -0.420082688331604),((((p1*x2 + p2*x1) * x0) + p3*x1) / p0),-231.62716394558754,187.82407013900487,-314.5898321566507,407.5141338161164,-398.0174043656604,640.2295035574467,-485.55336741778467,482.9640518604516,-603.7897126835359,739.6826635318622,-750.0209247441308,505.8617170929287,-822.755508743621,637.2253160857373,-365.43964349199683,253.61699094618902,-623.350002771255,386.6198310583124,-637.7461974675437,487.38049229896416,-1250.9457369336235,1028.7868347162364,-1869.2476724984226,1576.2586107685488,-988.2660817802727,856.9163715456049,-1435.8005054236917,1347.1174014401015,-949.227199697328,639.2634074522355,-1268.6358145569006,1050.630518566101,-560.6556435424421,398.9340969904318,-683.4336244967849,384.68842531512024
2,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),((p1 * (x2 * x0) + p2 * x1) / p0),-212.40819119795975,186.46147306918522,-227.32608067393542,308.1520001707556,-242.2480342571175,446.3693042039808,-391.9680653434474,303.04132508877433,-391.96815929503964,303.0414820339536,-846.4373862530061,555.640127079448,-865.4018747136387,633.1370218689345,-389.3310261966855,293.4352395020647,-739.1039912699687,400.11066369318615,-524.4494211980219,498.23713521587945,-977.0446077198302,1096.9704099084036,-1428.2910302627868,1697.2457860441932,-759.739135197346,760.3097555913519,-1025.3893717722417,1233.0933932679268,-845.5576021817645,582.8941744216226,-991.1840125342295,848.796329763457,-483.8826567386757,313.4611225694288,-677.8295297074053,407.7113724835281
3,symbolic_complex7Orig.pt,(((x2 * x0) + x1) / -2.3512144),(((x2 * x0) + x1) / -2.3512144),-1072.8005881316474,79.7718571546198,-2142.1260340634185,79.05780217811467,-3217.7899963136333,78.70363641912009,-2131.507963524455,141.00099677751103,-3207.723630012284,141.279743311634,-2092.804400054623,254.15088733189157,-3162.693410571983,221.204800433182,-1060.8596642079583,146.78601206800465,-1066.7069953036607,252.29885250509486,-1192.0955911272285,46.71607612989958,-2404.8383169652166,47.801135878841,-3616.8735627750966,49.00132736263515,-2272.4455880949768,117.60680400446842,-3429.561291985133,116.3576559936793,-2128.3269625575763,169.66788798821543,-3246.9119287308645,177.51389421846105,-1094.129833143919,111.29818791955185,-1073.9630146165623,215.9491173981888
4,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),(((p2*x2 + p3*x1) * x0 * p4) / ((x2 * ((x2 * (x0 * x0)) * p0)) + p1)),-210.75343515893178,125.07210791209376,-210.7534351603742,125.0721079167909,-210.7534351603742,125.0721079167909,-333.82967266347214,199.83535677023943,-333.82967266347214,199.83535677023943,-598.0762499322389,406.376228849907,-598.0860185717867,406.39670861886697,-333.82967063492345,199.8353521857297,-576.0376258265023,367.2730289940794,-699.3219109993712,450.76692150180355,-1349.1819392059313,946.7461043690607,-1999.580541170518,1444.3018472676067,-1120.485433654535,785.577428961553,-1597.436502538901,1212.7364525963637,-893.7945299276324,574.4980809955454,-1115.2917227875732,871.9630257298227,-599.495760754782,332.86825893114786,-676.1568659062748,374.7582738167209
5,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),(((x2*p2 + x1*p3) * x0) / ((x2 * (x2 * p0)) + p1)),-168.3800134594236,103.43764383734366,-168.3800134594236,103.43764383734366,-168.3800134594236,103.43764383734366,-323.8181249671113,204.6111999591466,-323.8181249671113,204.6111999591466,-696.9239773601926,410.24954793897626,-696.9254466515636,410.2531500290948,-323.8181248829418,204.61119984699232,-677.0748162248857,375.04616816629533,-657.4882031655562,456.99119060741856,-1263.4820458176823,971.183734434218,-1867.5496617508334,1484.6661556936403,-1179.5355092758111,789.3332717327049,-1682.0726041976013,1213.6506294097676,-837.0408726513966,541.2723106792621,-1006.9300214605887,804.917306035274,-629.8795237227307,337.2333635603895,-671.0862148440247,394.14627638304444
6,symbolic_complex7B_final_model.pt,((1.2016098499298096*(x2 * x0) + 2.939833879470825*x1 + -0.07029277831315994) / -0.5075784921646118 + 0.10189437866210938),((p1 * (x2 * x0) + p2 * x1 + p3) / p0 + p4),-212.1495890069749,134.15087602217034,-230.7597653995207,133.76652856495764,-250.2178880567659,133.75409623027042,-412.77816881274026,270.20783609517605,-431.203779690002,269.7984145204196,-769.7635837536011,487.78463412809975,-785.1083215971,492.477238768791,-398.2454696874123,271.68903198366746,-686.3541400702042,386.9869380468436,-698.4530324996506,503.00094563474886,-1395.6395249844506,1101.541894834803,-2093.998106764263,1702.5978139583292,-802.9269003674202,835.7132948722176,-1126.0798815340058,1315.4309685078515,-883.2625357310261,544.5436471104695,-1112.7003782872557,867.8604179864553,-467.8704886597866,360.34370946515287,-660.6240791780984,364.34060935629947
