# p0,p1,p2,p3,p4,reward
-2.120216846466064453e+00,1.179724574089050293e+00,9.128599166870117188e-01,-8.375763148069381714e-02,8.390228450298309326e-02,0.000000000000000000e+00
-2.113713026046752930e+00,1.185128450393676758e+00,9.105290770530700684e-01,-8.190796524286270142e-02,8.214100450277328491e-02,0.000000000000000000e+00
-2.107640266418457031e+00,1.190185785293579102e+00,9.082929491996765137e-01,-8.009845763444900513e-02,8.041858673095703125e-02,0.000000000000000000e+00
-2.101478338241577148e+00,1.195290565490722656e+00,9.059153199195861816e-01,-7.890380173921585083e-02,7.927776873111724854e-02,0.000000000000000000e+00
-2.095810890197753906e+00,1.199977397918701172e+00,9.037726521492004395e-01,-7.764416933059692383e-02,7.807712256908416748e-02,0.000000000000000000e+00
-2.090675115585327148e+00,1.204237341880798340e+00,9.017897844314575195e-01,-7.647889852523803711e-02,7.696668803691864014e-02,0.000000000000000000e+00
-2.085819959640502930e+00,1.208220720291137695e+00,9.000382423400878906e-01,-7.539997249841690063e-02,7.593883574008941650e-02,0.000000000000000000e+00
-2.081451416015625000e+00,1.211831569671630859e+00,8.983694911003112793e-01,-7.443797588348388672e-02,7.502203434705734253e-02,0.000000000000000000e+00
-2.074902772903442383e+00,1.217607855796813965e+00,8.941910862922668457e-01,-7.085866481065750122e-02,7.163013517856597900e-02,0.000000000000000000e+00
-2.068352222442626953e+00,1.223379373550415039e+00,8.899555206298828125e-01,-6.713547557592391968e-02,6.810449808835983276e-02,0.000000000000000000e+00
-2.059257507324218750e+00,1.231520175933837891e+00,8.849039673805236816e-01,-6.769372522830963135e-02,6.860767304897308350e-02,0.000000000000000000e+00
-2.050627708435058594e+00,1.239230871200561523e+00,8.801707029342651367e-01,-6.787922233343124390e-02,6.875994056463241577e-02,0.000000000000000000e+00
-2.042681932449340820e+00,1.246293544769287109e+00,8.759200572967529297e-01,-6.835798174142837524e-02,6.919119507074356079e-02,9.190042724609375000e+02
-2.035222291946411133e+00,1.252926588058471680e+00,8.718271851539611816e-01,-6.900632381439208984e-02,6.978370249271392822e-02,0.000000000000000000e+00
-2.028398513793945312e+00,1.258975386619567871e+00,8.681492209434509277e-01,-6.967882066965103149e-02,7.040021568536758423e-02,0.000000000000000000e+00
-2.022119760513305664e+00,1.264564394950866699e+00,8.646010160446166992e-01,-7.045238465070724487e-02,7.111220061779022217e-02,0.000000000000000000e+00
-2.016374111175537109e+00,1.269648432731628418e+00,8.614795804023742676e-01,-7.121948152780532837e-02,7.181892544031143188e-02,0.000000000000000000e+00
-2.011158943176269531e+00,1.274254441261291504e+00,8.586839437484741211e-01,-7.195225358009338379e-02,7.249428331851959229e-02,0.000000000000000000e+00
-2.006371498107910156e+00,1.278439640998840332e+00,8.562895655632019043e-01,-7.276366651058197021e-02,7.324277609586715698e-02,0.000000000000000000e+00
-2.001882314682006836e+00,1.282327532768249512e+00,8.541581034660339355e-01,-7.358509302139282227e-02,7.400063425302505493e-02,0.000000000000000000e+00
-1.997664093971252441e+00,1.285977602005004883e+00,8.520867824554443359e-01,-7.448882609605789185e-02,7.483431696891784668e-02,0.000000000000000000e+00
-1.993850231170654297e+00,1.289286136627197266e+00,8.501769900321960449e-01,-7.531049102544784546e-02,7.559228688478469849e-02,0.000000000000000000e+00
-1.990413188934326172e+00,1.292282938957214355e+00,8.483917117118835449e-01,-7.604114711284637451e-02,7.626637071371078491e-02,0.000000000000000000e+00
-1.987301111221313477e+00,1.295000433921813965e+00,8.467564582824707031e-01,-7.670950144529342651e-02,7.688294351100921631e-02,0.000000000000000000e+00
-1.983973383903503418e+00,1.297848463058471680e+00,8.449738621711730957e-01,-7.788731902837753296e-02,7.796571403741836548e-02,0.000000000000000000e+00
-1.980965256690979004e+00,1.300424575805664062e+00,8.433528542518615723e-01,-7.898408919572830200e-02,7.897382974624633789e-02,0.000000000000000000e+00
-1.977733850479125977e+00,1.303212761878967285e+00,8.414064645767211914e-01,-7.944515347480773926e-02,7.940129190683364868e-02,0.000000000000000000e+00
-1.974354386329650879e+00,1.306021928787231445e+00,8.398813605308532715e-01,-7.925976067781448364e-02,7.923880219459533691e-02,0.000000000000000000e+00
-1.971298933029174805e+00,1.308573365211486816e+00,8.384747505187988281e-01,-7.893773913383483887e-02,7.895134389400482178e-02,0.000000000000000000e+00
-1.968246221542358398e+00,1.311028957366943359e+00,8.374835848808288574e-01,-7.847549021244049072e-02,7.853592932224273682e-02,0.000000000000000000e+00
-1.965315580368041992e+00,1.313350677490234375e+00,8.366715312004089355e-01,-7.797902822494506836e-02,7.808908075094223022e-02,0.000000000000000000e+00
-1.962475419044494629e+00,1.315662741661071777e+00,8.353672027587890625e-01,-7.815824449062347412e-02,7.825431972742080688e-02,0.000000000000000000e+00
-1.959903836250305176e+00,1.317766070365905762e+00,8.341442346572875977e-01,-7.827349752187728882e-02,7.836137712001800537e-02,0.000000000000000000e+00
-1.957348942756652832e+00,1.319858431816101074e+00,8.327969312667846680e-01,-7.858325541019439697e-02,7.864404469728469849e-02,0.000000000000000000e+00
-1.954924583435058594e+00,1.321851372718811035e+00,8.314045667648315430e-01,-7.907256484031677246e-02,7.908860594034194946e-02,0.000000000000000000e+00
-1.952859401702880859e+00,1.323448300361633301e+00,8.306709527969360352e-01,-8.016435801982879639e-02,8.007682859897613525e-02,0.000000000000000000e+00
-1.950847387313842773e+00,1.324987173080444336e+00,8.299981355667114258e-01,-8.121045678853988647e-02,8.102349191904067993e-02,0.000000000000000000e+00
-1.949009895324707031e+00,1.326404452323913574e+00,8.293157815933227539e-01,-8.216096460819244385e-02,8.188363164663314819e-02,0.000000000000000000e+00
-1.947142720222473145e+00,1.327813625335693359e+00,8.287127017974853516e-01,-8.314367383718490601e-02,8.277229964733123779e-02,0.000000000000000000e+00
-1.944566726684570312e+00,1.329868674278259277e+00,8.272913098335266113e-01,-8.305362612009048462e-02,8.269604295492172241e-02,0.000000000000000000e+00
-1.941986322402954102e+00,1.331975936889648438e+00,8.254677653312683105e-01,-8.337132632732391357e-02,8.298588544130325317e-02,0.000000000000000000e+00
-1.939202785491943359e+00,1.334254384040832520e+00,8.232588171958923340e-01,-8.429777622222900391e-02,8.382224291563034058e-02,0.000000000000000000e+00
-1.936620712280273438e+00,1.336345434188842773e+00,8.213038444519042969e-01,-8.523349463939666748e-02,8.466641604900360107e-02,0.000000000000000000e+00
-1.934222936630249023e+00,1.338285207748413086e+00,8.194786906242370605e-01,-8.614165335893630981e-02,8.548534661531448364e-02,0.000000000000000000e+00
-1.930822014808654785e+00,1.341007947921752930e+00,8.170939683914184570e-01,-8.610241115093231201e-02,8.545599877834320068e-02,0.000000000000000000e+00
-1.927765011787414551e+00,1.343459844589233398e+00,8.149398565292358398e-01,-8.601883053779602051e-02,8.538647741079330444e-02,0.000000000000000000e+00
-1.924718499183654785e+00,1.345975279808044434e+00,8.121750950813293457e-01,-8.677499741315841675e-02,8.606652915477752686e-02,0.000000000000000000e+00
-1.921354293823242188e+00,1.348723292350769043e+00,8.093091845512390137e-01,-8.705003559589385986e-02,8.631698787212371826e-02,0.000000000000000000e+00
-1.918183684349060059e+00,1.351299166679382324e+00,8.066738843917846680e-01,-8.727370202541351318e-02,8.652117103338241577e-02,0.000000000000000000e+00
-1.915043830871582031e+00,1.353798031806945801e+00,8.043575882911682129e-01,-8.728281408548355103e-02,8.653410524129867554e-02,0.000000000000000000e+00
-1.911904335021972656e+00,1.356145977973937988e+00,8.027672171592712402e-01,-8.764175325632095337e-02,8.685714751482009888e-02,0.000000000000000000e+00
-1.907511949539184570e+00,1.359307646751403809e+00,8.009166717529296875e-01,-8.891516178846359253e-02,8.799146115779876709e-02,0.000000000000000000e+00
-1.903224110603332520e+00,1.362404823303222656e+00,7.990890741348266602e-01,-8.981062471866607666e-02,8.879059553146362305e-02,0.000000000000000000e+00
-1.899240016937255859e+00,1.365250825881958008e+00,7.976112961769104004e-01,-9.041345864534378052e-02,8.933049440383911133e-02,0.000000000000000000e+00
-1.894123673439025879e+00,1.369033694267272949e+00,7.951670289039611816e-01,-8.973913639783859253e-02,8.874256908893585205e-02,0.000000000000000000e+00
-1.888823509216308594e+00,1.372984051704406738e+00,7.921671271324157715e-01,-8.999502658843994141e-02,8.897359669208526611e-02,0.000000000000000000e+00
-1.883830428123474121e+00,1.376633167266845703e+00,7.896499633789062500e-01,-9.061606228351593018e-02,8.952517062425613403e-02,0.000000000000000000e+00
-1.878846883773803711e+00,1.380341172218322754e+00,7.868031859397888184e-01,-9.073612838983535767e-02,8.963675051927566528e-02,0.000000000000000000e+00
-1.873923659324645996e+00,1.383946299552917480e+00,7.843435406684875488e-01,-9.055034071207046509e-02,8.948010206222534180e-02,0.000000000000000000e+00
-1.869406700134277344e+00,1.387241482734680176e+00,7.821646928787231445e-01,-9.031740576028823853e-02,8.928178995847702026e-02,0.000000000000000000e+00
-1.865267157554626465e+00,1.390239953994750977e+00,7.803212404251098633e-01,-8.995122462511062622e-02,8.896703273057937622e-02,0.000000000000000000e+00
