# p0,p1,p2,reward
-2.014372348785400391e+00,1.265952587127685547e+00,1.021723031997680664e+00,0.000000000000000000e+00
-2.010418415069580078e+00,1.268450379371643066e+00,1.022517800331115723e+00,0.000000000000000000e+00
-2.006688356399536133e+00,1.270671486854553223e+00,1.023783683776855469e+00,0.000000000000000000e+00
-2.002006292343139648e+00,1.273871183395385742e+00,1.023662567138671875e+00,0.000000000000000000e+00
-1.996370553970336914e+00,1.277942895889282227e+00,1.022608160972595215e+00,0.000000000000000000e+00
-1.991085052490234375e+00,1.281592965126037598e+00,1.022277593612670898e+00,0.000000000000000000e+00
-1.985612630844116211e+00,1.285459876060485840e+00,1.021542429924011230e+00,0.000000000000000000e+00
-1.980560421943664551e+00,1.289018511772155762e+00,1.020900726318359375e+00,0.000000000000000000e+00
-1.975657939910888672e+00,1.292398691177368164e+00,1.020542621612548828e+00,0.000000000000000000e+00
-1.969331264495849609e+00,1.297065138816833496e+00,1.018790483474731445e+00,0.000000000000000000e+00
-1.963494300842285156e+00,1.301372528076171875e+00,1.017155528068542480e+00,0.000000000000000000e+00
-1.958060741424560547e+00,1.305323481559753418e+00,1.015858769416809082e+00,0.000000000000000000e+00
-1.952884316444396973e+00,1.309050917625427246e+00,1.014743804931640625e+00,0.000000000000000000e+00
-1.947933435440063477e+00,1.312560558319091797e+00,1.013873219490051270e+00,0.000000000000000000e+00
-1.943379282951354980e+00,1.315789461135864258e+00,1.013060688972473145e+00,0.000000000000000000e+00
-1.934191584587097168e+00,1.323495388031005859e+00,1.009346127510070801e+00,0.000000000000000000e+00
-1.925366401672363281e+00,1.331076622009277344e+00,1.004820346832275391e+00,0.000000000000000000e+00
-1.917297840118408203e+00,1.338006615638732910e+00,1.000678539276123047e+00,0.000000000000000000e+00
-1.909486770629882812e+00,1.344732642173767090e+00,9.964950084686279297e-01,0.000000000000000000e+00
-1.902374744415283203e+00,1.350852966308593750e+00,9.926978349685668945e-01,0.000000000000000000e+00
