,file_name,formula,h,explicit,ep_len,reward,init_omega,init_theta
32,symbolic_complex7A_cma_pendulum_fav_model.pt,((2.86554158480621*(x2 * x0) + 6.973008798444018*x1 ) / -1.0487190329828968),0.05,True,1000,-6276.378029123433,0.975495131907568,7.999998193696796
35,symbolic_complex7A_cma_pendulum_fav_model.pt,((2.86554158480621*(x2 * x0) + 6.973008798444018*x1 ) / -1.0487190329828968),0.05,True,1000,-6276.19594814045,-0.9768663024197628,-7.771021645000652
36,symbolic_complex7A_cma_pendulum_fav_model.pt,((2.86554158480621*(x2 * x0) + 6.973008798444018*x1 ) / -1.0487190329828968),0.05,True,1000,-6276.110243709344,-11.579565283615231,7.965890478429615
30,symbolic_complex7A_cma_pendulum_fav_model.pt,((2.86554158480621*(x2 * x0) + 6.973008798444018*x1 ) / -1.0487190329828968),0.05,True,1000,-6276.105920056814,-0.9777191951055448,-7.735968080396335
39,symbolic_complex7A_cma_pendulum_fav_model.pt,((2.86554158480621*(x2 * x0) + 6.973008798444018*x1 ) / -1.0487190329828968),0.05,True,1000,-6275.68849051227,-1.3673361692694415,-7.984805143944689
44,symbolic_complex7A_cma_pendulum_fav_model.pt,((2.86554158480621*(x2 * x0) + 6.973008798444018*x1 ) / -1.0487190329828968),0.025,True,1000,-5842.042582576277,1.9238012774524171,7.999965379139861
45,symbolic_complex7A_cma_pendulum_fav_model.pt,((2.86554158480621*(x2 * x0) + 6.973008798444018*x1 ) / -1.0487190329828968),0.025,True,1000,-5842.029906639536,-1.7258334901906485,-7.976419645265977
41,symbolic_complex7A_cma_pendulum_fav_model.pt,((2.86554158480621*(x2 * x0) + 6.973008798444018*x1 ) / -1.0487190329828968),0.025,True,1000,-5841.975319729518,1.7289275653031746,7.838682894811625
43,symbolic_complex7A_cma_pendulum_fav_model.pt,((2.86554158480621*(x2 * x0) + 6.973008798444018*x1 ) / -1.0487190329828968),0.025,True,1000,-5841.880834755874,-1.7262398253619178,-7.941613250196387
40,symbolic_complex7A_cma_pendulum_fav_model.pt,((2.86554158480621*(x2 * x0) + 6.973008798444018*x1 ) / -1.0487190329828968),0.025,True,1000,-5841.765726521174,1.9256520509445756,7.924542769088004
