,file_name,formula,h,explicit,ep_len,reward,init_omega,init_theta
21,symbolic_complex19A_final_model.pt,(((1.6276639699935913*x2 + (x1 / 0.1611037701368332)) * x0) / ((((x1 / 0.16852176189422607) + 0.993894636631012*x2) * (x2 * -0.08521824330091476)) + -0.7546262741088867)),0.05,True,1000,-5216.438746823281,-5.531905026303539,7.848785830979649
22,symbolic_complex19A_final_model.pt,(((1.6276639699935913*x2 + (x1 / 0.1611037701368332)) * x0) / ((((x1 / 0.16852176189422607) + 0.993894636631012*x2) * (x2 * -0.08521824330091476)) + -0.7546262741088867)),0.05,True,1000,-5216.350189219756,-0.7541144023623698,-7.7921054751337975
23,symbolic_complex19A_final_model.pt,(((1.6276639699935913*x2 + (x1 / 0.1611037701368332)) * x0) / ((((x1 / 0.16852176189422607) + 0.993894636631012*x2) * (x2 * -0.08521824330091476)) + -0.7546262741088867)),0.05,True,1000,-5215.193671007682,-0.7952055181464679,-7.325489722210152
27,symbolic_complex19A_final_model.pt,(((1.6276639699935913*x2 + (x1 / 0.1611037701368332)) * x0) / ((((x1 / 0.16852176189422607) + 0.993894636631012*x2) * (x2 * -0.08521824330091476)) + -0.7546262741088867)),0.05,True,1000,-5215.035975114566,0.8012984047727942,7.262942587325498
25,symbolic_complex19A_final_model.pt,(((1.6276639699935913*x2 + (x1 / 0.1611037701368332)) * x0) / ((((x1 / 0.16852176189422607) + 0.993894636631012*x2) * (x2 * -0.08521824330091476)) + -0.7546262741088867)),0.05,True,1000,-5213.47974656541,0.3564275614368649,7.88826942444064
29,symbolic_complex19A_final_model.pt,(((1.6276639699935913*x2 + (x1 / 0.1611037701368332)) * x0) / ((((x1 / 0.16852176189422607) + 0.993894636631012*x2) * (x2 * -0.08521824330091476)) + -0.7546262741088867)),0.025,True,1000,-4368.974274609745,2.9690664870636816,0.6697774555536165
28,symbolic_complex19A_final_model.pt,(((1.6276639699935913*x2 + (x1 / 0.1611037701368332)) * x0) / ((((x1 / 0.16852176189422607) + 0.993894636631012*x2) * (x2 * -0.08521824330091476)) + -0.7546262741088867)),0.025,True,1000,-4293.277681013664,3.056455209289764,-2.245656190514975
31,symbolic_complex19A_final_model.pt,(((1.6276639699935913*x2 + (x1 / 0.1611037701368332)) * x0) / ((((x1 / 0.16852176189422607) + 0.993894636631012*x2) * (x2 * -0.08521824330091476)) + -0.7546262741088867)),0.025,True,1000,-4271.239756859076,1.9970587676751062,-7.999839041746812
30,symbolic_complex19A_final_model.pt,(((1.6276639699935913*x2 + (x1 / 0.1611037701368332)) * x0) / ((((x1 / 0.16852176189422607) + 0.993894636631012*x2) * (x2 * -0.08521824330091476)) + -0.7546262741088867)),0.025,True,1000,-4271.1220346729715,1.9949837260183374,-7.997337431944863
33,symbolic_complex19A_final_model.pt,(((1.6276639699935913*x2 + (x1 / 0.1611037701368332)) * x0) / ((((x1 / 0.16852176189422607) + 0.993894636631012*x2) * (x2 * -0.08521824330091476)) + -0.7546262741088867)),0.025,True,1000,-4270.102930835005,-1.9619612302296514,7.999248731916348
