,file_name,formula,h,explicit,ep_len,reward,init_omega,init_theta
26,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.05,True,1000,-6305.815880291168,0.9825363742976849,7.999999751150202
21,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.05,True,1000,-6305.815880066128,-0.9825362813540326,-7.999999894218069
27,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.05,True,1000,-6305.815878841286,0.9825363881191419,7.999999983000755
22,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.05,True,1000,-6305.815878517797,-0.9825363653039826,-7.999999951857172
23,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.05,True,1000,-6305.8158784501975,0.982536450461152,7.999999987299883
33,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.025,True,1000,-5989.20304816693,-0.4457146829087882,7.999999813724265
34,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.025,True,1000,-5989.203046784265,0.44571469559048527,-7.999999932876613
30,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.025,True,1000,-5989.2030440606495,-0.4457147042811077,7.999999999491773
31,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.025,True,1000,-5989.203040880177,0.44571467683300514,-7.999999983530054
28,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.025,True,1000,-5989.203032444917,0.4457144601048707,-7.999998967805203
37,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.0125,True,1000,-5948.525737017084,-0.2776252013465999,7.99999994666588
35,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.0125,True,1000,-5948.525736449082,-0.2776252011809297,7.999999981463405
36,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.0125,True,1000,-5948.525736008712,-0.277625206841953,7.99999999971596
39,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.0125,True,1000,-5948.525734396716,-0.27762520083737174,7.999999804822647
38,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.0125,True,1000,-5948.425907950904,-0.19836936994042623,7.9999999996007345
1,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.05,False,1000,-7475.490714457378,2.729731249487373,0.19810399967484346
2,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.05,False,1000,-1065.6406246048555,-0.21484552768118584,4.457589677538032
4,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.05,False,1000,-972.3853033989408,2.0446173972104487,-7.957430581332908
6,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.05,False,1000,-966.0178657974875,-39.45286196962131,7.9809469785123035
3,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.05,False,1000,-965.7445168218654,-1.6976558248423055,7.998712730984566
12,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.025,False,1000,-1980.1159589893557,2.3706641813233826,-7.990828929365449
13,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.025,False,1000,-1976.7272444173593,-2.4255458819730036,7.998628103554033
9,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.025,False,1000,-1975.170551245022,-16.421337050130987,-7.995586600945381
7,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.025,False,1000,-1974.6053827239675,-2.4279666541191585,7.999797705864143
8,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.025,False,1000,-1973.6514692177334,8.715232637735552,-7.9982281702603135
16,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.0125,False,1000,-4417.316754590368,3.8486436486397095,7.9999999978535685
20,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.0125,False,1000,-4417.316746722562,2.434541492665267,-7.999999999999679
17,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.0125,False,1000,-4417.316746300032,-2.434541492558163,7.999999993488888
15,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.0125,False,1000,-4417.316741504539,-2.434541493255931,7.999999996744291
14,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),0.0125,False,1000,-4417.31673891637,-2.4345415155144283,7.999999999675137
