,file_name,formula,h,explicit,ep_len,reward,init_omega,init_theta
27,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.05,True,1000,-5347.7992254450055,2.786405936630365,-1.289613454226603
26,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.05,True,1000,-5334.853720551235,-2.6421878823378306,0.2112608950345854
23,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.05,True,1000,-5328.647880472769,20.8435385608465,7.181690660877706
22,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.05,True,1000,-5328.618693310743,-1.9022372377602834,-7.8964613398490995
25,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.05,True,1000,-5325.187304890597,2.203892275612281,7.98663742884675
34,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.025,True,1000,-4692.757383203318,-2.9599741906727424,0.4583301851182694
29,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.025,True,1000,-4675.7719642049315,-2.927951562419018,0.06470865087925237
28,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.025,True,1000,-4675.627865021685,-2.884035375331508,0.06329177089613269
32,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.025,True,1000,-4661.453890572052,-8.032524931586371,-7.983731711273916
33,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.025,True,1000,-4661.180056286133,1.7539281499347659,7.800190739467575
35,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.0125,True,1000,-4396.6589804879095,2.926489107297691,1.5955336890842657
40,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.0125,True,1000,-4260.278883795683,-0.7175245225254101,7.999604623840703
36,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.0125,True,1000,-4260.269916211063,0.7174425102598772,-7.999255104874645
37,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.0125,True,1000,-4260.22762365001,-0.7174645683784513,7.999910135913885
39,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.0125,True,1000,-4260.211973515341,-0.7169305015442493,7.997073296751427
2,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.05,False,1000,-589.8617665240577,3.1411994838797788,0.0037662299164415184
5,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.05,False,1000,-527.842291085541,-3.125971035137243,0.09800779254508285
4,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.05,False,1000,-459.4328417900164,3.120080624743074,0.30463239545295745
1,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.05,False,1000,-440.7868399132652,-3.207414121227754,-0.977937815014722
0,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.05,False,1000,-403.15884872202207,-46.949188399069726,1.2908526525397406
10,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.025,False,1000,-1811.9787085651465,3.141592650311128,2.709175881389292e-08
9,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.025,False,1000,-1094.0311064232892,3.1476154378089736,0.05011849763113574
11,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.025,False,1000,-1060.6421840802955,-3.1535303746532595,-0.08403760280010115
12,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.025,False,1000,-1045.3392734238635,3.1253420819739937,-0.1041704611882483
8,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.025,False,1000,-983.4743099055349,-3.178068646342019,-0.1378266263681479
16,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.0125,False,1000,-2846.8517732103164,-3.1415849662872306,6.47798082223876e-05
18,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.0125,False,1000,-2271.844832651764,3.1396096476230504,-0.019994952338347978
19,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.0125,False,1000,-2247.5556360924857,3.1447864421625074,0.02947034625583817
14,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.0125,False,1000,-1933.867947795811,3.1866113124251987,0.1070966416297637
17,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),0.0125,False,1000,-1894.2939455808307,-3.1875301482199387,0.06719988344295288
