,file_name,formula,parametrized_formula,penalty05_mean,penalty05_std,penalty01_mean,penalty01_std,penalty1_mean,penalty1_std,penalty05_explicit_mean,penalty05_explicit_std,penalty01_explicit_mean,penalty01_explicit_std,penalty1_explicit_mean,penalty1_explicit_std
0,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,5 -> 25 (relu) -> 1 (tanh) ,-1413.4286817144682,9670.09444041137,634.4749642537345,26.30117733353256,-1504.5151781860573,958.5873035563103,-404.29060952934645,148.45281725992572,601.8138907844611,40.77966065543977,-1655.425679981962,256.0192319470492
1,SmallNet25.pt,5 -> 25 (relu) -> 1 (tanh) ,5 -> 25 (relu) -> 1 (tanh) ,-291396.99269408395,298933.698863445,-59704.09193686034,63288.190670069445,-569928.9254320054,589934.1657427326,-137853.59378832267,192472.84098183468,-31768.712341772098,45148.88698572304,-304952.322676338,450276.645921684
2,td3_actor_400_300_ReLU.pth,Actor,Actor,-335.76609335862116,64.70864745280412,638.3464732090661,21.28425517180386,-1536.5716964009969,140.38172037066593,-425.6531606789297,72.09352421734079,621.0733170743425,20.890075850084983,-1760.8663227418788,142.00862972081848
