,file_name,formula,h,explicit,ep_len,reward,init_omega,init_theta
32,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.05,True,1000,-5277.7744075791625,3.2928192821185194,0.3616674258217529
30,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.05,True,1000,-5250.112586918081,2.9322086537722982,-0.5983705365704728
35,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.05,True,1000,-5234.066009028946,-0.610067725064886,7.995450446018616
33,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.05,True,1000,-5234.057630204355,-0.6111576574136645,7.999998731249053
37,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.05,True,1000,-5234.0400811066675,0.6110324290494034,-7.999977055719165
45,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.025,True,1000,-4708.808328380898,3.135945422755493,-0.012857785414416163
48,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.025,True,1000,-4638.626874511927,3.151607732408422,-0.38966186686464965
47,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.025,True,1000,-4525.86368624986,1.32681248853167,-7.997693806594207
41,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.025,True,1000,-4525.854597019604,1.2666968168547648,-7.999865793302464
43,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.025,True,1000,-4525.854035357677,1.266241549058474,-7.999045032153205
52,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.0125,True,1000,-4136.269106328603,3.503480637369402,0.8200949142717917
55,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.0125,True,1000,-4071.3695446196853,-3.440085715566406,0.025750742650392233
53,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.0125,True,1000,-4058.5111020983163,-3.564367716976794,0.25258936272923194
56,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.0125,True,1000,-4051.098520194076,-2.8835884117620765,-0.35044610361988693
50,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.0125,True,1000,-4044.2852149802166,-78.75088646258604,0.3764025419994468
5,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.05,False,1000,-618.0781621897488,3.154671392134213,0.030932888145473472
3,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.05,False,1000,-607.7718548808263,3.1572254951206515,0.036976590379542075
2,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.05,False,1000,-587.5597967657835,-3.1634299481744392,-0.0516640316651785
6,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.05,False,1000,-576.8247001577328,3.116079514708606,-0.060371141889745426
8,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.05,False,1000,-548.6896279556782,3.105098981806941,-0.08641512247176095
18,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.025,False,1000,-1157.64125852608,-3.1666423956397103,-0.05895829083008389
13,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.025,False,1000,-1092.1762135909457,3.103462018922833,-0.08981400390371748
11,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),0.025,False,1000,-1069.0531265994296,-3.1855816421461105,-0.10365886262662855
