,file_name,formula,h,explicit,ep_len,reward,init_omega,init_theta
31,symbolic_complex17A_cma_pendulum_final_model.pt,(((10.216568048158265*x2 + 10.704010393648508*x1) * x0 * 28.661043483165862) / ((x2 * ((x2 * (x0 * x0)) * -14.06992802729482)) + -27.995914926588735)),0.05,True,1000,-5390.981470313039,-6.438180314199874,-6.946713017522436
35,symbolic_complex17A_cma_pendulum_final_model.pt,(((10.216568048158265*x2 + 10.704010393648508*x1) * x0 * 28.661043483165862) / ((x2 * ((x2 * (x0 * x0)) * -14.06992802729482)) + -27.995914926588735)),0.05,True,1000,-5387.567864008562,0.4488061840804893,-7.276436136589078
30,symbolic_complex17A_cma_pendulum_final_model.pt,(((10.216568048158265*x2 + 10.704010393648508*x1) * x0 * 28.661043483165862) / ((x2 * ((x2 * (x0 * x0)) * -14.06992802729482)) + -27.995914926588735)),0.05,True,1000,-5381.241463809234,327.4417706534385,-7.990727423252639
39,symbolic_complex17A_cma_pendulum_final_model.pt,(((10.216568048158265*x2 + 10.704010393648508*x1) * x0 * 28.661043483165862) / ((x2 * ((x2 * (x0 * x0)) * -14.06992802729482)) + -27.995914926588735)),0.05,True,1000,-5379.315614289447,3.3475664375259377,-2.3392994226390913
38,symbolic_complex17A_cma_pendulum_final_model.pt,(((10.216568048158265*x2 + 10.704010393648508*x1) * x0 * 28.661043483165862) / ((x2 * ((x2 * (x0 * x0)) * -14.06992802729482)) + -27.995914926588735)),0.05,True,1000,-5374.484979603549,0.34942946025309884,2.6219237579374375
48,symbolic_complex17A_cma_pendulum_final_model.pt,(((10.216568048158265*x2 + 10.704010393648508*x1) * x0 * 28.661043483165862) / ((x2 * ((x2 * (x0 * x0)) * -14.06992802729482)) + -27.995914926588735)),0.025,True,1000,-4832.155087370837,-3.224366551491888,-0.1335001272534253
44,symbolic_complex17A_cma_pendulum_final_model.pt,(((10.216568048158265*x2 + 10.704010393648508*x1) * x0 * 28.661043483165862) / ((x2 * ((x2 * (x0 * x0)) * -14.06992802729482)) + -27.995914926588735)),0.025,True,1000,-4784.774506694761,-22.304655746399817,-1.7591720798570378
46,symbolic_complex17A_cma_pendulum_final_model.pt,(((10.216568048158265*x2 + 10.704010393648508*x1) * x0 * 28.661043483165862) / ((x2 * ((x2 * (x0 * x0)) * -14.06992802729482)) + -27.995914926588735)),0.025,True,1000,-4765.309836565776,-0.27298148730676264,-7.970825048464007
45,symbolic_complex17A_cma_pendulum_final_model.pt,(((10.216568048158265*x2 + 10.704010393648508*x1) * x0 * 28.661043483165862) / ((x2 * ((x2 * (x0 * x0)) * -14.06992802729482)) + -27.995914926588735)),0.025,True,1000,-4760.88963610919,2.7417315110823304,-2.126836673746129
47,symbolic_complex17A_cma_pendulum_final_model.pt,(((10.216568048158265*x2 + 10.704010393648508*x1) * x0 * 28.661043483165862) / ((x2 * ((x2 * (x0 * x0)) * -14.06992802729482)) + -27.995914926588735)),0.025,True,1000,-4741.754246134869,1.1750926550799892,1.6818113507874544
53,symbolic_complex17A_cma_pendulum_final_model.pt,(((10.216568048158265*x2 + 10.704010393648508*x1) * x0 * 28.661043483165862) / ((x2 * ((x2 * (x0 * x0)) * -14.06992802729482)) + -27.995914926588735)),0.0125,True,1000,-4352.804053383311,3.3411541297021814,2.34192113924546
58,symbolic_complex17A_cma_pendulum_final_model.pt,(((10.216568048158265*x2 + 10.704010393648508*x1) * x0 * 28.661043483165862) / ((x2 * ((x2 * (x0 * x0)) * -14.06992802729482)) + -27.995914926588735)),0.0125,True,1000,-4346.481550386362,2.955253388942635,-2.4224497122707405
