,file_name,formula,parametrized_formula,penalty05_mean,penalty05_std,penalty01_mean,penalty01_std,penalty1_mean,penalty1_std,penalty05_explicit_mean,penalty05_explicit_std,penalty01_explicit_mean,penalty01_explicit_std,penalty1_explicit_mean,penalty1_explicit_std
0,symbolic_Symbolic27_swingup_regression.pt,(((x3 * 3.9907198) + -0.2077273) + (1.0 * x4 + (x1 * -0.15355267))) / (((((x3 * 3.9907198) + 1.0 * x4) * ((x3 * 3.130886) + 1.0 * x4)) * -0.21450245) + -1.1192385),(((x3 * 3.9907198) + -0.2077273) + (1.0 * x4 + (x1 * -0.15355267))) / (((((x3 * 3.9907198) + 1.0 * x4) * ((x3 * 3.130886) + 1.0 * x4)) * -0.21450245) + -1.1192385),-1994.224602524823,277.54911786651735,263.36848858778774,51.44023818100595,-4808.655825098181,465.98662186281723,-2388.0580509231204,395.0247146146672,207.14775662419007,57.95447849157877,-5911.545413049163,2426.899281859825
1,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),-3123.0693389680096,719.9281421077928,36.92541469973044,157.379140655146,-6903.677400452903,1464.409381201174,-2257.2327978060234,234.09953780495377,231.75909946332024,45.496785176320046,-5401.077313282228,517.8779650609638
2,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),-1737.3099808033921,374.867827329172,330.1497548925729,73.64967732236403,-4240.968549837275,681.7219786629156,-1427.6070034190177,196.56157703742798,373.12720476663276,52.480755828493294,-3844.739703947879,570.0241046127001
3,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),-1568.74448905826,235.72510077456633,354.70554066251213,54.40079971735643,-3919.117427273441,434.9783794729799,-1680.8149520488626,362.558373379314,357.0713500075914,65.71330110010709,-4274.801162601315,1151.8162472850331
4,td3_actor_400_300_ReLU.pth,Actor,Actor,-332.19451904296875,63.04353332519531,635.9883422851562,21.02911376953125,-1538.5648193359375,118.78681182861328,-437.1339416503906,74.74493408203125,619.5992431640625,23.01166343688965,-1760.9769287109375,139.99234008789062
