,file_name,formula,h,explicit,reward,init_xpos,init_xdot,init_theta,init_thetadot
3,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.01,True,-520.8706674676882,0.4882393653040219,0.4997207404014798,2.641639873684493,0.4978354446710128
5,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.01,True,-518.1556080188724,0.49971773634044075,0.49606893356796045,2.6419951367521395,0.4999979124062575
4,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.01,True,-515.3423912180056,0.49166024551430715,0.49975770999542696,2.6415935515439966,0.4999994875549091
8,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.01,True,-512.2515424964308,0.44190361726987193,0.49961522389859714,2.642139344947831,0.4996823979258447
1,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.01,True,-505.08550119505895,0.49145075399397714,0.49876786500912235,2.6467258572834305,0.49909363088254177
10,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.005,True,-2343.8514541070426,0.42212317570839275,0.4999995233330751,2.6416054709724004,0.49999163563735927
15,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.005,True,-2343.4564096856006,0.4228176330877831,0.4999996365333708,2.6415998746620306,0.4999993129912963
16,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.005,True,-2343.38912809373,0.42229710462303005,0.4999948878107485,2.641607984857579,0.49985074921360856
11,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.005,True,-2343.1192641520774,0.31848657050065154,0.499992655327976,2.641601583831127,0.4998746178988377
17,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.005,True,-2343.039597677886,0.3193167132968105,0.49999181509939855,2.6416436598748425,0.4999987807846094
23,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.0025,True,-6262.082954796075,0.300532375788489,0.4999999230433847,2.641592706832508,0.49999995301295325
25,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.0025,True,-6262.07905288184,0.3005557197049872,0.49999991597527765,2.641592653733446,0.4999996632100701
24,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.0025,True,-6262.078752296456,0.3005548849968035,0.49999986242221167,2.6415926643252297,0.499999664152987
26,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.0025,True,-6262.077188076438,0.30057990602275253,0.4999999188103529,2.6415926539066064,0.49999989076653845
28,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.0025,True,-6262.07706156427,0.30054393545617014,0.49999963607572556,2.6415926936289797,0.49999988287144986
36,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.01,False,-2684696.800274428,-0.3599309813635332,-0.49772318644669494,3.116129453536234,-0.4832901919805423
30,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.01,False,-2.4147805209386797,0.4999570072740894,0.49979288840857267,2.641667974230232,0.49836224500446724
33,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.01,False,-0.4485262802935387,0.39351412173335937,0.4999829692541999,2.6417260891458842,0.4989731117940048
31,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.01,False,0.5109135533283803,0.4964739736357203,0.4999999999694737,2.641684750636363,0.4999689640165206
35,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.01,False,1.0366098241141737,0.49900539616446604,0.4997911168567718,2.64159464404425,0.4977980058044562
45,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.005,False,-798442.3301430033,-0.4626577143304545,-0.4848638603159467,3.2774225637820216,-0.49923196536063347
40,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.005,False,-771567.3471338316,-0.49797030946022697,-0.45654175780845735,3.144904617594012,-0.481765937452502
48,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.005,False,-2012.4265045916252,-0.18826545036348477,-0.48829060449653583,2.9385928673094157,-0.14082892062700125
46,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.005,False,-1874.3604926891228,0.3567505241835348,0.4999999999953316,2.641627863688099,0.49999059939812424
44,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.005,False,-1874.2366188892988,0.440458349467953,0.49999619209106533,2.6416024040813033,0.4996038809078371
53,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.0025,False,-365769.9591633235,-0.44221524278549323,-0.49732995363385785,3.2584481432520045,-0.49114729345342883
56,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.0025,False,-352571.2211573335,-0.43146215302720226,-0.4999414078331924,3.2278555992998124,-0.46762536214235395
59,SmallNet25_cma_swingup_final_model.pt,5 -> 25 (relu) -> 1 (tanh) ,0.0025,False,-344835.6622092312,-0.49726330629424864,-0.48152322240832574,3.105478390769045,-0.470507400443037
