,file_name,formula,h,explicit,reward,init_xpos,init_xdot,init_theta,init_thetadot
2,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.01,True,226.48212466267762,0.18783294970351927,-0.4998949126035957,2.641593925950702,-0.382060969946196
1,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.01,True,229.007957465462,-0.4981715840911003,0.28802192926351816,2.6431731800533163,-0.13021089061045044
4,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.01,True,232.21591059326,-0.45774274026582645,-0.04751188937351111,2.6441303010395156,0.3646399362289823
3,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.01,True,232.83977877640694,-0.49714963864888423,0.11196935063181185,2.641664433595383,0.33095991082790843
0,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.01,True,236.37637350563557,0.03111236563449934,-0.42230101467843106,2.6417461966409572,0.4416366900626508
5,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.005,True,-1181.7617037946695,-0.49642193769330817,0.4922301729017908,2.6416507314821174,-0.48753921282762136
6,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.005,True,-1180.842694092404,-0.4958887712983195,0.4076408514500864,2.641813538436467,-0.4967430005411075
8,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.005,True,-1178.2725981743542,-0.49999825652442653,0.3676515024000871,2.641592662579753,-0.21647634263155338
7,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.005,True,-1178.2553561217114,-0.49994449758742326,0.35590637667118097,2.6415932274255414,-0.21313290982838365
9,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.005,True,-1172.9727530743278,-0.4999991624049518,0.11493568373773808,2.6415926638451577,0.4980402775736862
11,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.0025,True,-4084.2846303325377,-0.4882848493258953,0.49997065928078077,2.641593787402358,0.49999693359944397
14,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.0025,True,-4084.2786581892783,-0.4907883692891621,0.49989157303731474,2.641606508312675,0.49999452624327717
13,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.0025,True,-4084.2474134297704,-0.49100829433253884,0.49992076162796417,2.6415934075611056,0.49999650768787524
10,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.0025,True,-4084.1089123043766,-0.48576255708676763,0.4999541637272835,2.641631533433728,0.49996141662447713
12,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.0025,True,-3143.0320465972236,-0.49999999949185026,0.2942364070597519,3.6415926535132295,0.4999999998588383
18,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.01,False,306.5974283009042,0.49997859516614757,0.4980982612251033,2.6415927325254476,0.4932150750435436
19,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.01,False,306.843605904739,0.49816264512566044,0.4997507597389846,2.642603202648381,0.4919290991836557
16,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.01,False,306.93730278439796,0.4999802218733827,0.4999964864753584,2.6418031824760178,0.4859409931870203
17,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.01,False,307.2505794618822,0.49986697173749767,0.48428886105915786,2.6417292047226826,0.48536727392815343
15,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.01,False,307.74031735630814,0.49995781325069083,0.4999055049241484,2.6434556830197304,0.49223750688990436
20,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.005,False,-396074.9554412121,-0.4741316014818995,-0.20824095997063113,3.5162749229400023,-0.41329899095592076
24,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.005,False,-1182.2728390275772,0.49289722102417705,0.4993833585267198,2.6416074704980224,0.4986217351319748
21,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.005,False,-1181.9470277874384,0.4919989475747086,0.49974242652902584,2.6417119062211882,0.4977354100294175
22,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.005,False,-1180.7292084387857,0.4970928767084599,0.49999072460667177,2.6415928814161638,0.48741046151232925
23,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.005,False,-1119.0773751679876,-0.4999999016165528,0.48619508526879873,2.6415926548476154,0.49766271811391977
26,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.0025,False,-4165.891308002536,0.4999185689565486,0.4999941044230146,2.641594765858876,0.4999827989921565
28,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.0025,False,-4165.879395289922,0.49999995301391964,0.49996706581524497,2.6416075328572712,0.49997357580265683
25,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.0025,False,-4165.834893066171,0.49988257270944936,0.49999911822377846,2.6416067522602003,0.49997835710510924
27,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.0025,False,-4165.433403559368,0.4999988477387833,0.49988634460024456,2.641621079301445,0.49975105640778017
29,td3_actor_400_300_ReLU.pth,td3_actor_400_300_ReLU.pth,0.0025,False,-3161.4700859257773,-0.4999999825868547,0.4916538603162553,3.641592647821393,0.49999999822781516
